name,city,address,phone,website,domain,rating,reviews,category,email,facebook,instagram,linkedin,email2,phone2
L'Osteria,"Naples, Italy","Via Santa Maria in Portico, 57A, 80122 Napoli NA, Italy",081 761 1418,https://losterianapoli.blogspot.com/,losterianapoli.blogspot.com,4.6,544.0,osteria,,,,,,"0490-0491, 001899227737, 0102-0103"
Osteria Da Antonio,"Naples, Italy","Via Agostino Depretis, 143, 80100 Napoli NA, Italy",081 551 0138,http://www.osteriadaantonio.com/,osteriadaantonio.com,4.5,2496.0,osteria,,,https://www.instagram.com/osteria_da_antonio/,,,"08 187 708 17, 00 846 817 84, 00 288 817 28"
Osteria Ippolito,"Naples, Italy","Piazza San Gaetano, 80138 Napoli NA, Italy",081 454408,,,4.7,1674.0,osteria,,,,,,
Osteria napoletana co core,"Naples, Italy","Via Giovanni Donadio, Piazzetta Durante, 1, 80129 Napoli NA, Italy",081 1761 7135,https://social.quandoo.com/en/groups/osteria-napoletana-co-core-104742,social.quandoo.com,4.7,219.0,osteria,,,,,,"01103801547, +3908117617135, 09281528"
Vincè osteria,"Naples, Italy","Via Napoli, 159, 80026 Casalnuovo di Napoli NA, Italy",347 884 9569,http://www.osteriavincè.it/,osteriavincè.it,4.6,1723.0,osteria,,https://www.facebook.com/vinceosteria/,https://www.instagram.com/vince_osteria,,,"0041210122753, 021405468826023, 072255542"
Osteria da Carmela,"Naples, Italy","Via Conte di Ruvo, 12, 80135 Napoli NA, Italy",081 549 9738,http://www.osteriadacarmela.it/,osteriadacarmela.it,4.6,1784.0,osteria,info@osteriadacarmela.it,https://www.facebook.com/osteriadacarmelanapoli/,https://www.instagram.com/osteriadacarmela/,,info@osteriadacarmela.it,"04772764936, 081 410377, 081 0332576"
Osteria Gentile Napoli,"Naples, Italy","Vico S. Maria del Pozzo, 4, 80137 Napoli NA, Italy",392 296 4669,https://social.quandoo.com/en/groups/osteria-gentile-napoli-106000,social.quandoo.com,4.9,354.0,osteria,,,,,,"02029999999, 00699999997, +393922964669"
Ristorante Osteria Sannazaro,"Naples, Italy","P.za Sannazaro, 72, 80122 Napoli NA, Italy",081 043 0955,http://www.osteriasannazaro.it/,osteriasannazaro.it,4.6,450.0,osteria,,https://www.facebook.com/profile.php?id=100090854642848,https://instagram.com/invites/contact/,,,"026149752876812, 000000003, 095691750821820"
Osteria Napulion,"Naples, Italy","Via Giovanni Nicotera, 42, 80132 Napoli NA, Italy",081 1822 5533,https://social.quandoo.com/en/groups/Osteria-Napulion,social.quandoo.com,4.8,738.0,osteria,,,,,,"00063612308562, +3908118225533"
Osteria fa Ciccio e Mery,"Naples, Italy","Via San Bartolomeo, 46, 80100 Napoli NA, Italy",338 904 0011,,,4.7,987.0,osteria,,,,,,
Animus Osteria,"Naples, Italy","Via Giuseppe Tropeano, 20, 80131 Napoli NA, Italy",081 1756 5206,http://osteria-animus.it/,osteria-animus.it,4.8,196.0,osteria,info@osteria-animus.it,https://www.facebook.com/animus.osteria/?paipv=0&#038;eav=AfZod7DtYnv9OYMgC5jwgN-7LV5czEZswmJ__oPbEX3tw_zdMX9UKorTHxgf8W28SwE&#038;_rdr,https://www.instagram.com/animus_osteria?igsh=MTA1dmlsN2M0M2tvMw==,,info@osteria-animus.it,"081 1756 5206, 0838-1-768, 0838-1-1024"
Osteria Della Mattonella,"Naples, Italy","Via Giovanni Nicotera, 13, 80132 Napoli NA, Italy",081 416541,https://www.osteriadellamattonella.com/,osteriadellamattonella.com,4.5,2205.0,osteria,,,,,info@osteriadellamattonella.com,"0490-0491, 0308-0309, 059678066"
Osteria Boni,"Naples, Italy","Via Foria, 50, 80139 Napoli NA, Italy",351 858 4373,https://www.osteriaboni.it/,osteriaboni.it,4.8,550.0,osteria,,,,,,"0490-0491, 00000000000002, 0308-0309"
Osteria La Chitarra,"Naples, Italy","Rampe S. Giovanni Maggiore, 1, 80134 Napoli NA, Italy",081 552 9103,http://www.osterialachitarra.it/,osterialachitarra.it,4.7,1094.0,osteria,info@osterialachitarra.it,https://www.facebook.com/osterialachitarra/?fref=ts,,,info@osterialachitarra.it,"07031760635, +39 3476740073, +39 3289262108"
Isso Osteria,"Naples, Italy","Vico Satriano, 8C/8, 80121 Napoli NA, Italy",331 546 3763,https://www.issoosteria.com/,issoosteria.com,4.7,229.0,osteria,,https://www.facebook.com/p/Isso-Osteria-61568888057250/,https://www.instagram.com/isso.osteria/,,"info@issoosteria.it, booking@tastyc.com","00 331 546 37, +393315463763, 026-01-14 20"
Osteria Il Gobbetto,"Naples, Italy","Vico Sergente Maggiore, 8, 80132 Napoli NA, Italy",081 251 2435,https://osteria-il-gobbetto3.webnode.it/,osteria-il-gobbetto3.webnode.it,4.4,4315.0,osteria,contatto@esempio.it,,,,"contatto@esempio.it, ilgobbetto@hotmail.it","00000038-8, 00000023, 00000017-"
Osteria paladino,"Naples, Italy","Via Giovanni Paladino, 3, 80138 Napoli NA, Italy",379 108 2953,https://social.quandoo.com/en/groups/osteria-paladino-109281,social.quandoo.com,4.5,230.0,osteria,,,,,,"0639231833375, +393791082953, 032924915"
L'Osteria di Canterbury,"Naples, Italy","P.za Leonardo, 18, 80129 Napoli NA, Italy",081 1933 9545,https://www.instagram.com/canterburyosteria/,instagram.com,4.6,186.0,osteria,,,,,,
Biancomangiare - Cucina tipica napoletana Trattoria Osteria Napoli,"Naples, Italy","154, Vico San Nicola Alla Carità, 13, 80134 Napoli NA, Italy",081 552 0226,https://www.facebook.com/biancomangiarenapoli/,facebook.com,4.6,1592.0,osteria,,https://www.facebook.com/login,,,,"09521104, 056839232, 075684469438"
Signora Bettola - Napoli (Chiaia),"Naples, Italy","Vico Satriano, 3B, 80121 Napoli NA, Italy",081 1895 4960,https://www.signorabettola.com/,signorabettola.com,4.6,4905.0,osteria,info@signorabettola.com,https://www.facebook.com/SignoraBettola,https://www.instagram.com/signorabettola/,,info@signorabettola.com,"+393347639369, 04 846 713 82, 08 863 321 87"
Osteria Atri,"Naples, Italy","Via Atri, 22, 80138 Napoli NA, Italy",081 1891 2380,,,4.1,563.0,osteria,,,,,,
Antica Osteria Pisano,"Naples, Italy","Piazza Crocelle ai Mannesi, 1, 80138 Napoli NA, Italy",081 554 8325,https://www.osteriapisano.it/,osteriapisano.it,4.0,1277.0,osteria,pisanogenny65@gmail.com,https://www.facebook.com/Anticaosteriapisano,https://www.instagram.com/anticaosteriapisano/,,pisanogenny65@gmail.com,"08551033093, +39 081 554 83 25, 0344129017"
Antica Osteria Da Tonino dal 1880,"Naples, Italy","Via Santa Teresa A Chiaia, 47, 80121 Napoli NA, Italy",081 421533,https://www.osteriadatonino.it/,osteriadatonino.it,4.0,1034.0,osteria,osteriadatonino@libero.it,https://www.facebook.com/AnticaOsteriaDaTonino/,https://www.instagram.com/osteriadatonino1880/,,osteriadatonino@libero.it,"081 421533, +39 349 107 3337"
Osteria e Pizzeria Scugnizzi,"Naples, Italy","Via Luigi Caldieri, 53/61, 80128 Napoli NA, Italy",081 040 3392,,,4.3,2971.0,osteria,,,,,,
OSTERIA DA FIORELLA by Max Mariola,"Naples, Italy","Via Partenope, 1b, 80121 Napoli NA, Italy",081 716 9435,http://www.maxmariolarestaurant.com/,maxmariolarestaurant.com,4.1,237.0,osteria,,https://www.facebook.com/MaxMariolaRestaurant,https://www.instagram.com/maxmariolarestaurants/,,"press@maxmariolarestaurant.com, info@maxmariolarestaurant.com","072074264682, +39 0249366145, 06193303025"
Trattoria Osteria Calici e Taglieri Napoli,"Naples, Italy","Via Monteoliveto, 88, 80134 Napoli NA, Italy",081 230 5331,http://osteriacalicietaglieri.it/,osteriacalicietaglieri.it,4.5,81.0,osteria,,,,,,
Osteria del Porto,"Naples, Italy","Via, Spiaggia del Fronte, 8, 80059 Torre del Greco NA, Italy",081 012 5330,https://www.facebook.com/Osteria-del-Porto-927767640618229/info,facebook.com,4.4,868.0,osteria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
CarboNà Osteria Romana,"Naples, Italy","Corso Europa, 460, 80010 Villaricca NA, Italy",081 1875 3168,https://www.facebook.com/carbonaosteria,facebook.com,4.3,1362.0,osteria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
Osteria Napoletana Molo 33,"Naples, Italy","Via Santa Lucia, 42, 80132 Napoli NA, Italy",376 222 0011,https://social.quandoo.com/en/groups/osteria-napoletana-molo-33-107889,social.quandoo.com,4.1,71.0,osteria,,,,,,"+393762220011, 004174466658"
Osteria Donna Teresa,"Naples, Italy","Via Michele Kerbaker, 58, 80127 Napoli NA, Italy",081 556 7070,http://osteriadonnateresa.eatbu.com/,osteriadonnateresa.eatbu.com,4.4,1085.0,osteria,teresasorvino@alice.it,https://www.facebook.com/pages/Osteria-Donna-Teresa/335193416578401,https://www.instagram.com/explore/locations/19038677/osteria-donna-teresa/,,teresasorvino@alice.it,"0490-0491, 01563 1 26, 0231222-130752-"
Ristorante Osteria Il Garum Napoli,"Naples, Italy","Piazza Monteoliveto, 2/A, 80134 Napoli NA, Italy",081 542 3228,https://www.ristoranteilgarum.com/,ristoranteilgarum.com,4.1,679.0,osteria,,,,,,
Casa Lazzarone,"Naples, Italy","Via Conte di Ruvo, 25, 80135 Napoli NA, Italy",081 1849 5489,,,4.5,819.0,osteria,,,,,,
La Taverna Del Buongustaio Napoli,"Naples, Italy","Via Basilio Puoti, 8, 80134 Napoli NA, Italy",081 551 2626,,,4.3,1489.0,osteria,,,,,,
Antica Taverna a Chiaia,"Naples, Italy","Salita S. Anna di Palazzo, 7, 80132 Napoli NA, Italy",081 412761,https://anticatavernaachiaia.shop/,anticatavernaachiaia.shop,4.5,2821.0,osteria,,,,,,
Osteria il Pacchero Napoli,"Naples, Italy","Via Raffaele Morghen, 175, 80100 Napoli NA, Italy",081 1881 4596,,,4.5,737.0,osteria,,,,,,
Ristorante Osteria A Licola La Riserva Di Sarchiapone Ristorante A Licola La Riserva Di Sarchiapone,"Naples, Italy","Via Madonna del Pantano, 80014 Napoli NA, Italy",081 804 3331,,,3.7,3.0,osteria,,,,,,
Re Lazzarone,"Naples, Italy","Via Santa Maria di Costantinopoli, 11, 80135 Napoli NA, Italy",081 442 0884,https://www.relazzarone.it/,relazzarone.it,4.6,1938.0,osteria,,https://www.facebook.com/relazzaronetrattoriacontemporanea,https://www.instagram.com/re_lazzarone,,,026-03-31 12
Hosteria Toledo 1951,"Naples, Italy","Vico Giardinetto, 78, 80134 Napoli NA, Italy",081 421257,https://www.hosteriatoledo.it/,hosteriatoledo.it,3.9,1878.0,osteria,info@hosteriatoledo.it,https://www.facebook.com/people/Hosteria-Toledo/100044696213308/?locale=it_IT,https://www.instagram.com/hosteriatoledo1951/?hl=cs,,info@hosteriatoledo.it,"00 0 2600 69, 00044696213308, 081 42 12 57"
Nonna Tittina,"Naples, Italy","V. Francesco Caracciolo, 13, 80122 Napoli NA, Italy",081 350 3552,https://nonnatittina.eu/,nonnatittina.eu,4.4,1032.0,osteria,,https://www.facebook.com/Nonna-Tittina-102575595332759/,https://instagram.com/nonnatittinalungomare?igshid=1nstqrzq2qgio,,,"0813503552, 0114091414090, 081 7871757"
Tripperia O'Russ Napoli,"Naples, Italy","Via S. Eframo Vecchio, 68, 80137 Napoli NA, Italy",081 599 1701,,,4.6,1344.0,osteria,,,,,,
Cantina del Gallo,"Naples, Italy","Via Alessandro Telesino, 21, 80136 Napoli NA, Italy",081 544 1521,http://www.cantinadelgallo.com/,cantinadelgallo.com,4.4,1637.0,osteria,,https://www.facebook.com/events/464806213558843/?fref=ts,http://instagram.com/cantinadelgallo,,,"06213558843, 08570981210"
osteria numero1,"Naples, Italy","Via San Martino, 110, 80046 San Giorgio a Cremano NA, Italy",333 509 2966,https://www.facebook.com/p/Osteria-numero-uno-100054215241304/,facebook.com,4.4,532.0,osteria,,https://www.facebook.com/login,,,,"06266474242483, 00670565, 0040737236703"
A Taverna d' 'e Zoccole,"Naples, Italy","Vico Lungo del Gelso, 96, 80134 Napoli NA, Italy",081 1965 5361,http://atavernadezoccole.eatbu.com/,atavernadezoccole.eatbu.com,4.6,2121.0,osteria,aldocivale@hotmail.it,https://www.facebook.com/profile.php?id=100025624730103,https://www.instagram.com/atavernadezoccole/,,aldocivale@hotmail.it,"0490-0491, 026-03-30 03, 024-07-29-1124"
Zito 41,"Naples, Italy","Via S. Giacomo, 41, 80133 Napoli NA, Italy",081 1918 1316,,,4.1,753.0,osteria,,,,,,
Osteria dieci pasta & ceci,"Naples, Italy","Via Marc'Antonio, 4/6,8, 80125 Napoli NA, Italy",081 617 4532,,,4.0,520.0,osteria,,,,,,
Osteria number 5,"Naples, Italy","Via Nicola Ricciardi, 5, 80123 Napoli NA, Italy",081 379 5590,https://social.quandoo.com/en/groups/osteria-numero-5-100591,social.quandoo.com,4.2,362.0,osteria,,,,,,"02283532086065, +390813795590, 07729989518"
Osteria Il Veliero,"Naples, Italy","Spiaggia del Fronte, 32, 80059 Torre del Greco NA, Italy",329 396 3189,,,4.4,552.0,osteria,,,,,,
Osteria del Pescatore - Dove Mangiare Il Pesce a Torre del Greco - Trattorie,"Naples, Italy","Corso Garibaldi, 7, 80059 Torre del Greco NA, Italy",331 421 1195,,,4.3,7.0,osteria,,,,,,
MEDITERRANEO,"Naples, Italy","Corso Meridionale, 49/50, 80142 Napoli NA, Italy",081 379 6799,,,4.4,793.0,osteria,,,,,,
La Taverna di Santa Chiara,"Naples, Italy","Via Santa Chiara, 6, 80134 Napoli NA, Italy",081 048 4908,,,4.6,1826.0,osteria,,,,,,
Hosteria e Pizzeria Masaniello,"Naples, Italy","Via dei Tribunali, 307, 80138 Napoli NA, Italy",081 444289,https://hosteriaepizzeriamasaniello.shop/,hosteriaepizzeriamasaniello.shop,4.2,1757.0,osteria,,,,,,"0552408187460, +39 081 444289, 07664575"
Osteria Angolino,"Naples, Italy","Vico Medina, 14, 80133 Napoli NA, Italy",081 975 8578,,,4.4,292.0,osteria,,,,,,
L' osteria di piazza Sannazzaro,"Naples, Italy","P.za Sannazaro, 71, 80122 Napoli NA, Italy",393 919 5247,https://osteriasannazaro.it/,osteriasannazaro.it,4.0,462.0,osteria,,https://www.facebook.com/profile.php?id=100090854642848,https://instagram.com/invites/contact/,,,"026149752876812, 000000003, 095691750821820"
Friggitoria Osteria Mediterranea,"Naples, Italy","Via Mergellina, 16, 80122 Napoli NA, Italy",338 561 0124,,,4.4,337.0,osteria,,,,,,
Pizzeria Osteria Barone,"Naples, Italy","Via Terracina, 165, 80125 Napoli NA, Italy",081 762 8250,https://www.instagram.com/pizzeriaosteriabarone?igsh=MTM0azMxMHh1eTd3Zg==,instagram.com,4.2,1201.0,osteria,,,,,,
Cucina Tipica Da Vittorio Napoli,"Naples, Italy","Via Diocleziano, 69/B, 80124 Napoli NA, Italy",081 762 6129,,,4.3,613.0,osteria,,,,,,
L'Antica Pizzeria da Michele,"Naples, Italy","Via Cesare Sersale, 1, 80139 Napoli NA, Italy",392 500 0579,http://www.damichele.net/,damichele.net,4.3,51462.0,pizzeria,,,,,,
Gino e Toto Sorbillo,"Naples, Italy","Via dei Tribunali, 32, 80138 Napoli NA, Italy",081 446643,http://www.sorbillo.it/,sorbillo.it,4.5,30102.0,pizzeria,,https://www.facebook.com/PizzeriaGinoSorbillo/,https://www.instagram.com/sorbillo/,,info@sorbillo.it,"00000057, 0526315789474, 0526315789"
Pizzeria Hermanos,"Naples, Italy","V. Sant'Antonio Abate, 56, 80139 Napoli NA, Italy",081 440147,https://social.quandoo.com/en/groups/pizzeria-hermanos-104410,social.quandoo.com,4.9,2462.0,pizzeria,,,,,,"06299999996, +39081440147"
50 Kalò,"Naples, Italy","P.za Sannazaro, 201/c, 80121 Napoli NA, Italy",081 1920 4667,http://www.50kalò.it/,50kalò.it,4.5,17984.0,pizzeria,,https://www.facebook.com/50Kalo/,https://www.instagram.com/50kalo/,,,"07511791217, 081 19204667 -, 08364951213"
al Ruotino - Pizzeria Ristorante,"Naples, Italy","Via Cesare Battisti, 17, 80134 Napoli NA, Italy",081 304 3668,http://www.alruotino.it/,alruotino.it,4.8,1614.0,pizzeria,,https://www.facebook.com/alRuotino,https://www.instagram.com/alruotino/,,alruotino@outlook.com,"+39 081 304 3668, 039987661916, 0403951212"
Pizzeria Staiano dal 1964,"Naples, Italy","Via Giacomo Piscicelli, 31, 80121 Napoli NA, Italy",081 660092,https://pizzeriastaianodal1964.shop/,pizzeriastaianodal1964.shop,4.8,1150.0,pizzeria,your@email.com,,,,"localoria.com@gmail.com, your@email.com","07664575, +39 081 660092"
Franco Gallifuoco Pizzeria,"Naples, Italy","Corso Arnaldo Lucci, 195, 80142 Napoli NA, Italy",081 1913 8170,https://www.facebook.com/francogallifuocopizzeria/,facebook.com,4.5,2062.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
Pizzeria Antonio Sorbillo,"Naples, Italy","Via dei Tribunali, 38, 80138 Napoli NA, Italy",081 033 1009,,,4.8,5214.0,pizzeria,,,,,,
Pizzeria Donna Sofia Ai Tribunali | Napoli,"Naples, Italy","Via dei Tribunali, 89, 80138 Napoli NA, Italy",081 290822,https://www.instagram.com/pizzeriadonnasofia?igsh=YXZiZTJic3RqbzE5,instagram.com,4.4,3688.0,pizzeria,,,,,,
Add'E Guaglian Pizzeria & Friggitoria,"Naples, Italy","Via Carbonara, 92, 80139 Napoli NA, Italy",081 1991 0206,https://www.pizzeriafriggitoriaaddeguagliun.it/,pizzeriafriggitoriaaddeguagliun.it,4.7,1042.0,pizzeria,lareginadellemargherite81@gmail.com,,,,lareginadellemargherite81@gmail.com,"+39 081 19575808, 09233673, 013847093"
Pizzeria Vincenzo Costa Napoli,"Naples, Italy","P.zza Capuana, 1/2, 80139 Napoli NA, Italy",081 1918 5293,,,4.2,2474.0,pizzeria,,,,,,
Pizzeria Laezza,"Naples, Italy","Via Speranzella, 125, 80132 Napoli NA, Italy",081 1932 2748,https://www.facebook.com/pizzerialaezza,facebook.com,4.5,3447.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
Pizzeria 400 Gradi,"Naples, Italy","Via Concezione a Monte Calvario, 12, 80134 Napoli NA, Italy",081 038 3232,,,4.7,2979.0,pizzeria,,,,,,
Pizzeria e Trattoria del Purgatorio,"Naples, Italy","Via dei Tribunali, 351/352, 80138 Napoli NA, Italy",379 197 0983,https://social.quandoo.com/en/groups/pizzeria-e-trattoria-del-purgatorio-napoli-107210,social.quandoo.com,4.7,6353.0,pizzeria,,,,,,"+393791970983, 00000080, 0672067826"
Pizzeria La Nuova Italia - Fratelli Barretta,"Naples, Italy","Corso Secondigliano, 543, 80144 Napoli NA, Italy",081 543 5927,https://pizzerialanuovaitalia.it/,pizzerialanuovaitalia.it,4.7,4028.0,pizzeria,lanuovaitaliapizzeria@libero.it,https://www.facebook.com/pizzeriafratellibarretta/,https://www.instagram.com/pizzerialanuovaitalia/,,lanuovaitaliapizzeria@libero.it,"010101502206, 053622378, 08967122"
Pizzeria Vesuviana,"Naples, Italy","Traversa I Giuseppe Garibaldi, 4, 80142 Napoli NA, Italy",081 286588,https://social.quandoo.com/en/groups/pizzeria-vesuviana-104089,social.quandoo.com,4.7,972.0,pizzeria,,,,,,"074700634, 082712846048, 01579999999"
Pizzeria Imperatore 1906,"Naples, Italy","Via Duomo, 218, 80138 Napoli NA, Italy",081 554 6789,https://www.facebook.com/1906Imperatore/,facebook.com,4.5,3784.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
Pizzeria Pavia,"Naples, Italy","Via Solitaria, 34, 80132 Napoli NA, Italy",081 764 5259,https://www.facebook.com/pizzeriaPaviaAntonio/,facebook.com,4.7,2400.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 056839232, 075684469438"
Pizzeria De' Figliole,"Naples, Italy","Via Giudecca Vecchia, 39, 80139 Napoli NA, Italy",081 286721,https://www.facebook.com/Pizzeria-de-figliole-1442873632651275/,facebook.com,4.6,3171.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 09521222, 056839232"
Pizzeria Trianon,"Naples, Italy","Via Pietro Colletta, 44, 80139 Napoli NA, Italy",081 553 9426,https://www.pizzeriatrianon.it/,pizzeriatrianon.it,4.0,6000.0,pizzeria,trianonnapoli@gmail.com,https://www.facebook.com/PizzeriaTrianonNapoli,https://instagram.com/pizzeriatrianon?igshid=OGQ5ZDc2ODk2ZA==,,"trianonsalerno1@gmail.com, trianonnapoli@gmail.com","00 25 633 71, 00-200 200, 07 352 256 35"
Pizzeria Augusteo,"Naples, Italy","Via Speranzella, 104, 80132 Napoli NA, Italy",081 1761 7709,https://social.quandoo.com/en/groups/pizzeria-augusteo-102137,social.quandoo.com,4.7,847.0,pizzeria,,,,,,+3908117617709
Pizzeria D'Angeli,"Naples, Italy","Via Pietro Colletta, 20/22, 80139 Napoli NA, Italy",081 553 6282,https://pizzeriadangeli.it/,pizzeriadangeli.it,4.5,6339.0,pizzeria,,,,,,"0490-0491, +39 0815536282, 0089776854-180"
Pizzeria Donna Sofia a Chiaia,"Naples, Italy","Via Chiaia, 188, 80132 Napoli NA, Italy",081 277 8201,https://www.facebook.com/pizzeriadonnasofiachiaia,facebook.com,4.6,957.0,pizzeria,,https://www.facebook.com/login,,,,"02047449186, 00473549133776-, 056839232"
Antica Pizzeria Di Matteo,"Naples, Italy","Via dei Tribunali, 94, 80138 Napoli NA, Italy",081 455262,http://www.anticapizzeriadimatteo.it/,anticapizzeriadimatteo.it,4.3,13877.0,pizzeria,info@anticapizzeriadimatteo.it,https://www.facebook.com/anticapizzeriadimatteoofficial,https://www.instagram.com/anticapizzeriadimatteoofficial/,,info@anticapizzeriadimatteo.it,"01315412, 03218924, +39081455262"
Pizzeria Speranzella,"Naples, Italy","Via S. Mattia, 6, 80132 Napoli NA, Italy",081 1819 6384,,,4.5,1533.0,pizzeria,,,,,,
Pizzeria Pellone,"Naples, Italy","Via Nazionale, 93, 80143 Napoli NA, Italy",081 553 8614,http://pellonepizzeria.it/,pellonepizzeria.it,4.4,12204.0,pizzeria,,https://www.facebook.com/PizzeriaPellone,https://www.instagram.com/pizzeriapellone/,,,"+39 081 553 8614, 0783661623, 050904697"
Pizzeria Gaetano Genovesi,"Naples, Italy","Via Alessandro Manzoni, 26/i, 80123 Napoli NA, Italy",081 714 6634,http://www.pizzeriagaetanogenovesi.it/,pizzeriagaetanogenovesi.it,4.4,4293.0,pizzeria,,https://www.facebook.com/pizzeriagaetanogenovesi,https://www.instagram.com/explore/locations/335756592/,,,"0902590315, 0902590311, 090259038-"
A' Quartrian' Pizzeria,"Naples, Italy","Via Emanuele de Deo, 17, 80134 Napoli NA, Italy",389 794 2285,,,4.4,1058.0,pizzeria,,,,,,
PIZZERIA DURANTE - PIZZA E SPRITZ,"Naples, Italy","Via Pietro Colletta, 16, 80139 Napoli NA, Italy",351 220 1063,https://instagram.com/pizzaespritz_napoli?utm_medium=copy_link,instagram.com,4.5,1330.0,pizzeria,,,,,,
Pizzeria Costa Napoli,"Naples, Italy","Via Domenico Capitelli, 29/30, 80136 Napoli NA, Italy",081 551 9557,,,4.2,630.0,pizzeria,,,,,,
Un Posto Al Sole f.lli colonna,"Naples, Italy","Via Taddeo da Sessa, 67, 80149 Napoli NA, Italy",081 554 1723,,,4.3,1650.0,pizzeria,,,,,,
Pizzeria Vincenzo Capuano,"Naples, Italy","P.za Vittoria, 8, 80121 Napoli NA, Italy",081 1875 4037,https://www.capvin.com/,capvin.com,4.3,5195.0,pizzeria,capvin@icloud.com,,,,capvin@icloud.com,"080-1-1024, 080-1-1536, 080-1-1320"
Pizzeria I Decumani,"Naples, Italy","Via dei Tribunali, 58/60/61, 80138 Napoli NA, Italy",081 557 1309,https://www.pizzeriadecumani.it/,pizzeriadecumani.it,4.3,3461.0,pizzeria,info@pizzeriadecumani.it,https://www.facebook.com/pizzeriaidecumani/,https://www.instagram.com/explore/locations/406914663/pizzeria-i-decumani/?hl=it,,info@pizzeriadecumani.it,"06914663, 04979757417, 082646418"
Pizzeria Napoli In Bocca,"Naples, Italy","Via San Carlo, 15, 80132 Napoli NA, Italy",081 426300,,,4.4,1987.0,pizzeria,,,,,,
Pizzeria Carminiello,"Naples, Italy","Corso Secondigliano, 350, 80144 Napoli NA, Italy",081 754 0037,http://www.carminiello.it/,carminiello.it,4.4,2351.0,pizzeria,sim1celestino@gmail.com,https://www.facebook.com/PizzeriaCarminiello,https://www.instagram.com/pizzeriacarminiello1910,,"info@carminiello.it, sim1celestino@gmail.com","095397280792955, 001301072670131, 00000011"
Ristorante pizzeria antico Borgo Ai vergini pizzeria napoli centro storico rione sanita’,"Naples, Italy","Pizzeria Antico Borgo Ai Vergini, Via Mario Pagano, 6/7, 80137 Napoli NA, Italy",081 1875 7501,https://anticoborgoaivergini.blogspot.com/,anticoborgoaivergini.blogspot.com,4.6,1597.0,pizzeria,,,,,,"007116590054010, 065714794683169, 07407863594169"
Pizzeria Vesi Napoli,"Naples, Italy","Via San Biagio Dei Librai, 115, 80138 Napoli NA, Italy",081 551 1035,http://www.vesi.it/,vesi.it,4.2,2243.0,pizzeria,,,,,,
Pizzeria Concettina ai Tre Santi,"Naples, Italy","Via Arena della Sanità, 7 Bis, 80137 Napoli NA, Italy",081 290037,https://www.concettinaaitresanti.com/,concettinaaitresanti.com,3.9,11475.0,pizzeria,info@concettinaaitresanti.com,https://www.facebook.com/PizzeriaDaConcettinaAiTreSanti,https://www.instagram.com/p/C-lIFunIxLS/,,info@concettinaaitresanti.com,"038185354991758, 037118924076070, 015729800428819"
Ristorante Pizzeria Gaetano Adamo Napoli,"Naples, Italy","Corso Giuseppe Garibaldi, 353, 80142 Napoli NA, Italy",081 277 9914,https://amavery.com/menu/gaetano-adamo/100/?vm=T,amavery.com,4.5,2141.0,pizzeria,,,,,,078189373
Pizzeria Oliva da Carla e Salvatore,"Naples, Italy","Via Sanità, 11/12, 80135 Napoli NA, Italy",081 544 9871,https://olivadacarlaesalvatore.altervista.org/,olivadacarlaesalvatore.altervista.org,4.3,1333.0,pizzeria,,,,,,
Insolito pizzeria e trattoria napoletana,"Naples, Italy","Via Santi Apostoli, 4, 80138 Napoli NA, Italy",081 015 3317,,,4.6,2976.0,pizzeria,,,,,,
Acunzo Pizza,"Naples, Italy","Via Domenico Cimarosa, 60, 80127 Napoli NA, Italy",081 578 5362,,,4.3,2809.0,pizzeria,,,,,,
Pizzeria Vincenzo Capuano Vomero,"Naples, Italy","P.za degli Artisti, 39, 80129 Napoli NA, Italy",081 379 3476,https://pizzeria-vincenzo-capuano-vomero.superbexperience.com/,pizzeria-vincenzo-capuano-vomero.superbexperience.com,3.9,1526.0,pizzeria,,,,,,
Antica Pizzeria Port’Alba,"Naples, Italy","Via Port'Alba, 18, 80134 Napoli NA, Italy",081 459713,https://www.anticapizzeriaportalba.com/,anticapizzeriaportalba.com,4.1,4903.0,pizzeria,,https://www.facebook.com/people/Antica-Pizzeria-PortAlba-1738/100063478272511/,https://www.instagram.com/anticapizzeriaportalba1738/,,,"00063478272511, +39081459713, 0405741336"
Pizzeria Miracoli F.lli Esposito,"Naples, Italy","Via Miracoli, 52, 80137 Napoli NA, Italy",081 444492,,,4.6,286.0,pizzeria,,,,,,
Antica Pizzeria dell'Angelo,"Naples, Italy","Piazzetta Nilo, 16, 80134 Napoli NA, Italy",081 542 2001,https://anticapizzeriadellangelo.shop/,anticapizzeriadellangelo.shop,3.9,2256.0,pizzeria,,,,,,
Pizzeria Del Popolo,"Naples, Italy","Piazza Mercato, 44, 80133 Napoli NA, Italy",081 563 4029,,,4.5,4840.0,pizzeria,,,,,,
